"Timestamp","What is your age","Which gender do you identify with?","What is your major?","Have you consumed marijuana (smoke, edibles, drinks etc.) in last 30 days?","In the last 30 days, how many days a week have you consumed marijuana?","Do you consider yourself to be a:","In the last 30 days, how many days a week did you workout/exercise?","In the last 30 days, did you attempt to do any school related work (study, complete assignments etc) under the influence of marijuana?","How do you think marijuana consumption affects your state of mind (select none if not a user)  - It makes it ","Under the influence of Marijuana do you feel like consuming any of the following substances (check all that apply) ","Do you ever experience any of the following instabilities mentally or emotionally?","Do you use marijuana to combat these mental health issues?","Have you considered using other recreational drugs due to your comfort with marijuana?"
"2019/05/29 5:00:48 PM MDT","20","Female","Physics","Yes","1","Light consumer","0","No","Depends on the strain, alternate between paranoid and relaxed/excited","Just food","Anxiety","No","Yes"
"2019/05/29 5:01:04 PM MDT","17","Female","Computer Science","No","0","None","4","No","accidentally clicked on a button","none","Other","No","No"
"2019/05/29 5:03:18 PM MDT","20","Male","Computer Science","No","0","None","7","No","Probably like alcohol","N/A","Other","No","No"
"2019/05/29 5:03:24 PM MDT","30","Female","Business","Yes","1","Light consumer","4","Yes","Relaxed","Alcohol","Anxiety;Stress;Depression","Yes","No"
"2019/05/29 5:03:39 PM MDT","21","Male","","Yes","3","Light consumer","1","Yes","Paranoid","Nicotine","Anxiety;Stress;Depression","Yes","Yes"
"2019/05/29 5:04:00 PM MDT","22","Male","Electrical engineering","Yes","1","Light consumer","3","No","Relaxed","None","Anxiety;Stress;Depression","No","No"
"2019/05/29 5:05:45 PM MDT","21","Male","Informatics","No","0","None","4","No","Inattentive","None","Other","No","No"
"2019/05/29 5:06:30 PM MDT","21","Male","Accounting","No","0","None","6","No","Paranoid","Food","Anxiety;PTSD;Stress","No","No"
"2019/05/29 5:06:31 PM MDT","22","Male","Statistics","Yes","1","Light consumer","7","No","Sometimes relaxed, sometimes aware.","No","Anxiety","No","No"
"2019/05/29 5:07:06 PM MDT","22","Male","Informatics","No","0","Light consumer","3","No","Relaxed","none","Stress","No","No"
"2019/05/29 5:08:14 PM MDT","21","Male","Geography","Yes","7","Moderate consumer","5","Yes","Aware","None","Anxiety;Stress","Yes","No"
"2019/05/29 5:08:40 PM MDT","22","Male","info","No","0","None","5","No","Relaxed","Nicotine;Alcohol;Tobacco","Other","No","Yes"
"2019/05/29 5:08:53 PM MDT","22","Male","Psychology ","Yes","2","Moderate consumer","6","Yes","Inattentive","None","Stress","No","No"
